match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,goal
3930163,Trent Alexander-Arnold,26.58270114190806,15.659231006735505,1,1,0
3930163,Aleksandar Mitrović,18.501081049495458,22.62672226840344,1,1,0
3930163,Dušan Vlahović,22.108143296079835,19.648833658150146,1,1,0
3930163,Trent Alexander-Arnold,28.504911857432568,15.600322170329719,3,1,0
3930163,Trent Alexander-Arnold,31.064449134018137,13.828650972280153,0,1,0
3930163,Harry Kane,6.440496875241848,58.51253063578603,0,1,0
3930163,Dušan Vlahović,24.413520843991343,17.67238365141052,0,1,0
3930163,Veljko Birmančević,22.37789087470042,19.87028661148723,5,1,0
3930163,Sergej Milinković-Savić,32.608741159388536,12.989862151083406,2,1,0
3930163,Ivan Ilić,30.99193443462347,14.02910647499962,2,1,0
3930181,Benjamin Šeško,11.808894952534724,37.16946618772925,1,1,0
3930181,Andraž Šporar,24.86966023089178,18.157773257720937,1,1,0
3930181,Harry Kane,12.902712893031453,32.96708604270657,0,1,0
3930181,Harry Kane,27.60525312327347,12.748985952586398,1,1,0
3930181,Andraž Šporar,27.569729777420747,16.3009120039375,1,1,0
3930181,Harry Kane,5.420332093147057,68.74627951211588,0,0,0
3930181,Harry Kane,32.073041639358124,13.418501563924664,1,1,0
3930181,Phil Foden,31.617242131469983,14.325744978768983,2,1,0
3930181,John Stones,8.050465825031493,52.66881886448022,2,1,0
3930181,Adam Gnezda Čerin,30.03081750469008,14.044613369256602,1,1,0
3930181,Declan Rice,21.34900466063933,13.600741030499991,0,1,0
3930181,Phil Foden,23.657979626333265,18.16580787581972,2,1,0
3930181,Cole Palmer,22.655683613610073,15.12400730831056,0,1,0
3930178,Luka Sučić,30.36264151881387,14.031927637105547,0,1,0
3930178,Lorenzo Pellegrini,18.64322933399683,21.22890447568457,0,1,0
3930178,Mateo Retegui,6.942621983083909,59.37821096162716,1,1,0
3930178,Mateo Retegui,14.34050208326054,30.204753324742768,2,1,0
3930178,Mateo Retegui,16.738578195294846,14.759574936703714,1,1,0
3930178,Alessandro Bastoni,9.350935782048769,38.09199530534602,0,0,0
3930178,Luka Modrić,24.74934342563455,15.157628735031974,1,1,0
3930178,Lorenzo Pellegrini,21.023082552280478,17.315339848658148,2,1,0
3930178,Andrej Kramarić,18.603494295427403,17.23485309957074,2,1,0
3930178,Luka Modrić,12.0,36.86989764584404,0,1,0
3930178,Ante Budimir,8.746427842267954,49.00110517522441,0,1,0
3930178,Luka Modrić,6.801470429252776,53.43690413140593,1,1,1
3930178,Davide Frattesi,16.070469812671938,22.429839373767557,1,1,0
3930178,Alessandro Bastoni,6.484597134749387,60.68916933519721,0,1,0
3930178,Matteo Darmian,14.283556979968262,18.579270380444676,0,1,0
3930178,Giacomo Raspadori,26.139625092950354,17.187645137999837,2,1,0
3930178,Giovanni Di Lorenzo,7.496665925596531,47.06011102372309,2,1,0
3930178,Gianluca Scamacca,33.86871712952825,12.829989199877515,1,1,0
3930178,Mattia Zaccagni,20.483163818121454,18.21488989494697,0,1,1
3930160,Álvaro Borja Morata Martín,22.487552112224222,19.103095987468233,0,1,0
3930160,Lamine Yamal Nasraoui Ebana,16.740967713964448,22.229265677403834,1,1,0
3930160,Ante Budimir,12.319902597017556,35.930908322518384,1,1,0
3930160,Álvaro Borja Morata Martín,15.900314462299171,28.240992385972106,0,1,1
3930160,Mateo Kovačić,17.24905794529081,26.04743576088214,1,1,0
3930160,Fabián Ruiz Peña,16.152399202595255,27.741181458819035,1,1,1
3930160,Marcelo Brozović,18.201098867925534,24.788046476826963,1,1,0
3930160,Lovro Majer,10.689246933250258,15.905340779397367,0,0,0
3930160,Robin Aime Robert Le Normand,7.280109889280515,51.430658691013505,2,1,0
