match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,body_part,shot_type,goal
3835324,Fridolina Rolfö,22.7705950734714,19.707978842978726,0,1,1.8715222143000831,Left Foot,Open Play,0
3835324,Magdalena Lilly Eriksson,7.406078584514215,56.72511201516505,1,0,0.8440025021913526,Head,Open Play,0
3835324,Victoria Pelova,18.787761974221414,15.523234061699538,1,1,2.9695684152569215,Left Foot,Open Play,0
3835324,Fridolina Rolfö,19.3747258045114,23.24975328497558,2,1,0.8901381465415908,Left Foot,Open Play,0
3835336,Sarah Puntigam,24.4826469157238,11.170103990854802,1,1,2.00105649099645,Left Foot,Open Play,0
3835336,Laura Feiersinger,21.868013169924694,17.845007072168748,1,1,1.3774329263599945,Left Foot,Open Play,0
3835336,Barbara Dunst,32.43223704896103,9.169216136194578,1,0,1.7131882683459339,Right Foot,Open Play,0
3835336,Caroline Graham Hansen,13.679546776117988,8.508007100108019,1,1,2.7806261190274197,Right Foot,Open Play,0
3835336,Verena Hanshaw,22.722895942198914,13.74676157624639,0,1,6.001169418380884,Left Foot,Open Play,0
3835336,Nicole Billa,19.11910039724673,9.994700827876578,1,1,5.374007886343064,Right Foot,Open Play,0
3835336,Nicole Billa,10.40192289915668,42.06265578171584,0,1,2.0105219300829553,Head,Open Play,1
3835336,Julia Hickelsberger Füller,19.548913013259845,15.856075493656421,1,1,1.8923258692349356,Right Foot,Open Play,0
3835336,Barbara Dunst,19.6702821535432,17.253702211254552,1,0,1.053320913955786,Right Foot,Open Play,0
3835336,Sarah Puntigam,21.654098919142303,20.618407571071817,2,1,2.057857725311443,Left Foot,Open Play,0
3835336,Nicole Billa,12.175385004179535,10.28654403223366,1,1,0.3269367470904968,Head,Open Play,0
3835336,Julia Hickelsberger Füller,15.473848907107756,26.293626172772587,1,1,1.535410344789092,Left Foot,Open Play,0
3835336,Julia Hickelsberger Füller,22.663186007267385,12.59657323581847,0,1,1.5454085663618748,Right Foot,Open Play,0
3835336,Ada Stolsmo Hegerberg,22.304259682849825,15.949167883022543,1,1,3.9427622400606097,Left Foot,Open Play,0
3835336,Julia Hickelsberger Füller,8.174350127074318,51.89435530929357,1,1,0.39714372137074794,Head,Open Play,0
3835336,Barbara Dunst,18.506755523321747,19.559276652926492,1,1,1.96195611958723,Right Foot,Open Play,0
3835336,Nicole Billa,18.13973538947026,24.822708660445954,1,1,1.835611441023401,Left Foot,Open Play,0
3835336,Julia Hickelsberger Füller,20.659622455408034,16.385764883818396,0,1,1.829962247499968,Left Foot,Open Play,0
3835336,Nicole Billa,11.615506876585277,37.96692972623641,1,1,1.1375677863796154,Head,Open Play,0
3835336,Lisa Makas,10.575916035975323,29.577227702241824,0,1,5.802238233815226,Right Foot,Open Play,0
3835336,Sarah Puntigam,15.211837495845133,23.66564794073545,4,1,0.3070990732113329,Left Foot,Open Play,0
3835336,Nicole Billa,11.591807451817,37.6130107962005,3,1,1.6108131500051495,Left Foot,Open Play,0
3835336,Maren Nævdal Mjelde,15.97779709471866,25.082006012334382,3,1,0.6219689535123913,Right Foot,Open Play,0
